type,count,country,abbreviation
Primary Health Centre,7204,Nigeria,PHC
Health Post,5523,Nigeria,HP
Health Clinic,3567,Nigeria,HC
Primary Health Clinic,2865,Nigeria,PHC
Hospital,2391,Nigeria,Hosp
Health Centre,2104,Nigeria,HC
Clinic,2051,Nigeria,Cln
Primary Health Care Centre,869,Nigeria,PHCC
Primary Health centre,820,Nigeria,PHC
Clinic Maternity,762,Nigeria,CM
Medical Centre,750,Nigeria,MC
General Hospital,597,Nigeria,GH
Hospital Maternity,456,Nigeria,HM
Primary Health Care,441,Nigeria,PHC
Health centre,437,Nigeria,HC
Maternity Home,409,Nigeria,MH
Basic Health Centre,382,Nigeria,BHC
Primary Health Care centre,375,Nigeria,PHCC
Dispensary,370,Nigeria,Disp
Specialist Hospital,365,Nigeria,SH
Comprehensive Health Centre,315,Nigeria,CHC
Maternity,269,Nigeria,Mat
Primary Health Post,230,Nigeria,PHP
Clinic Maternity Home,209,Nigeria,CMH
Primary Health Care Clinic,205,Nigeria,PHCC
Cottage Hospital,200,Nigeria,CH
Medical Clinic,179,Nigeria,MC
Maternal Child Health Clinic,170,Nigeria,MCHC
Basic Health Clinic,148,Nigeria,BHC
Nursing Home,146,Nigeria,NH
Medical centre,111,Nigeria,MC
Primary Health centre,101,Nigeria,PHC
Specialist Clinic,96,Nigeria,SC
Nursing Maternity Home,95,Nigeria,NMH
Maternity Clinic,89,Nigeria,MC
Basic Health centre,78,Nigeria,BHC
Staff Clinic,73,Nigeria,SC
Family Clinic,64,Nigeria,FC
Maternity Centre,55,Nigeria,MC
Maternal Child Health Centre,50,Nigeria,MCHC
Community Health Centre,49,Nigeria,CHC
Health Clinic Maternity,45,Nigeria,HCM
Primary Health,43,Nigeria,PH
Primary Healthcare centre,41,Nigeria,PHC
School Clinic,37,Nigeria,SC
Clinic Maternity Centre,36,Nigeria,CMC
Government Hospital,36,Nigeria,GH
Hospital Maternity Home,34,Nigeria,HMH
Specialist Hospital Maternity,33,Nigeria,SHM
Comprehensive Health centre,33,Nigeria,CHC
Medical Hospital,27,Nigeria,MH
Police Clinic,26,Nigeria,PC
University Teaching Hospital,26,Nigeria,UTH
Dental Clinic,25,Nigeria,DC
Medical Services,25,Nigeria,MS
Federal Medical Centre,25,Nigeria,FMC
Primary Health Centre Clinic,25,Nigeria,PHCC
Aged Widow Clinic,23,Nigeria,AWC
Maternal Child Health,23,Nigeria,MCH
Community Health Clinic,23,Nigeria,CHC
Primary Healthcare Centre,22,Nigeria,PHC
Clinic Hospital,21,Nigeria,CH
Central Hospital,21,Nigeria,CH
Health Clinc,21,Nigeria,HC
Maternity Hospital,20,Nigeria,MH
Community Hospital,20,Nigeria,CH
aged Widow Clinic,20,Nigeria,MCWC
Primary Centre,20,Nigeria,PC
Nursing Maternity,18,Nigeria,NM
State Hospital,18,Nigeria,SH
Hospital Annex,17,Nigeria,HA
Government Clinic,17,Nigeria,GC
Nursing Home Maternity,16,Nigeria,NHM
Clinic Home,15,Nigeria,CH
Community Clinic,15,Nigeria,CC
Government Health Post,14,Nigeria,GHP
Family Health Clinic,14,Nigeria,FHC
Primary Clinic,14,Nigeria,PC
Teaching Hospital,14,Nigeria,TH
Health Facility,13,Nigeria,HF
Eye Clinic,13,Nigeria,EC
Health Post,13,Nigeria,HP
Hospital,13,Nigeria,Hosp
Community Health Post,12,Nigeria,CHP
Medicare,12,Nigeria,Medc
Medical Clinic Maternity,12,Nigeria,MCM
Hospital Maternity Centre,11,Nigeria,HMC
Maternity Nursing Home,11,Nigeria,MNH
Police Hospital,11,Nigeria,PH
Primary Healthcare,11,Nigeria,PH
Primary Health centre Clinic,11,Nigeria,PHCC
Women Health Clinic,11,Nigeria,WHC
Hospital Clinic,11,Nigeria,HC
Clinic Annex,11,Nigeria,CA
Care Hospital Maternity,10,Nigeria,CHM
Government Health centre,10,Nigeria,GHC
Specialist Clinic Maternity,10,Nigeria,SCM
Maternity Home Clinic,10,Nigeria,MHC
Specialist,10,Nigeria,Sp
State Specialist Hospital,10,Nigeria,SSH
Private Clinic,10,Nigeria,PC
Health Care Centre,10,Nigeria,HCC
Central Primary Health Centre,10,Nigeria,CPHC
Family Hospital,10,Nigeria,FH
Tuberculosis Leprosy Clinic,10,Nigeria,TLC
Health Care Clinic,10,Nigeria,HCC
Psychiatric Hospital,10,Nigeria,PH
Government School Clinic,10,Nigeria,GSC
Community Health centre,9,Nigeria,CHC
Federal Clinic,9,Nigeria,FC
Primary Health Clinic Maternity,9,Nigeria,PHCM
Maternal Child Health Care,9,Nigeria,MCHC
School Health Clinic,9,Nigeria,SHC
Specialist Medical Centre,9,Nigeria,SMC
Primary Health Clinc,9,Nigeria,PHC
Primary health Centre,8,Nigeria,PHC
Maternity Child Health Clinic,8,Nigeria,MCHC
Medical Centre Annex,8,Nigeria,MCA
Comprehensive Primary Health Centre,8,Nigeria,CPHC
Army Clinic,8,Nigeria,AC
Care Clinic Maternity,8,Nigeria,CCM
Maternal Child Health centre,8,Nigeria,MCHC
Women Welfare Clinic,8,Nigeria,WWC
University Clinic,8,Nigeria,UC
Women Hospital,8,Nigeria,WH
Hospital Centre,7,Nigeria,HC
Primary Health Centre Centre,7,Nigeria,PHCC
Medical Laboratory,7,Nigeria,ML
Health Maternity,7,Nigeria,HM
Care,7,Nigeria,Care
Family Health,7,Nigeria,FH
Government Health Clinic,7,Nigeria,GHC
Clinics Maternity,7,Nigeria,CM
Family Primary Health Centre,7,Nigeria,FPHC
Primary Care centre,7,Nigeria,PCC
Infant Welfare Clinic,7,Nigeria,IWC
State Clinic,7,Nigeria,SC
Health Care centre,7,Nigeria,HCC
health Clinic,7,Nigeria,HC
Government Staff Clinic,7,Nigeria,GSC
Health Post,7,Nigeria,HP
Clinic,7,Nigeria,Cln
Prison Clinic,6,Nigeria,PC
Catholic Clinic,6,Nigeria,CC
Federal Health Centre,6,Nigeria,FHC
Referral Hospital,6,Nigeria,RH
Clinic Centre,6,Nigeria,CC
Maternal Child Clinic,6,Nigeria,MCC
University Medical Centre,6,Nigeria,UMC
Tuberculusis Leprosy Clinic,6,Nigeria,TLC
Eye Hospital,6,Nigeria,EH
Police Health Clinic,6,Nigeria,PHC
Hospital Home,6,Nigeria,HH
Primary healthCentre,6,Nigeria,PHC
Tuberculosis Leprosy,6,Nigeria,TL
Medicare Clinic,6,Nigeria,MC
Widow Aged Clinic,6,Nigeria,WAC
Clinic Andmaternity,6,Nigeria,CA
Care Medical Centre,6,Nigeria,CMC
Medical Care,6,Nigeria,MC
Comprehensive Health,5,Nigeria,CH
Maternity centre,5,Nigeria,MC
primary Health Clinic,5,Nigeria,PHC
Primary health Clinic,5,Nigeria,PHC
Health Clinic Annex,5,Nigeria,HCA
Basic Primary Health Centre,5,Nigeria,BPHC
Healthcare,5,Nigeria,HC
Army Hospital,5,Nigeria,AH
Healthpost,5,Nigeria,H
Clinic Maternity Hospital,5,Nigeria,CMH
Central Clinic,5,Nigeria,CC
Home Clinic,5,Nigeria,HC
Medical Health Clinic,5,Nigeria,MHC
Primary centre,5,Nigeria,PC
Care Maternity,5,Nigeria,CM
Primary health care Clinic,5,Nigeria,PC
National Primary Health Centre,5,Nigeria,NPHC
Mother Hospital Maternity,5,Nigeria,MHM
Staff Health Clinic,5,Nigeria,SHC
University Teaching Hospital,5,Nigeria,UTH
University Health Centre,5,Nigeria,UHC
Catholic Hospital Maternity,5,Nigeria,CHM
Clinic Maternity centre,5,Nigeria,CMC
Government School Health Clinic,5,Nigeria,GSHC
Primary Health clinic,5,Nigeria,PHC
Dispensary Maternity,5,Nigeria,DM
primary Health Centre,5,Nigeria,PHC
Health Clinic Maternity Home,5,Nigeria,HCMH
Care Specialist Hospital,5,Nigeria,CSH
Community Primary Health Centre,5,Nigeria,CPHC
Leprosy Clinic,5,Nigeria,LC
National Hospital,5,Nigeria,NH
Nursing Maternity Centre,4,Nigeria,NMC
Nursing Home Maternity Clinic,4,Nigeria,NHMC
Clinic Medical Centre,4,Nigeria,CMC
Clinic Marternity,4,Nigeria,CM
School Health Post,4,Nigeria,SHP
Mother Hospital,4,Nigeria,MH
Basic Clinic,4,Nigeria,BC
Family Medical Centre,4,Nigeria,FMC
University Health Clinic,4,Nigeria,UHC
Private Hospital,4,Nigeria,PH
Hospital Andmaternity,4,Nigeria,HA
Consultant Clinic,4,Nigeria,CC
Centre Clinic,4,Nigeria,CC
Primary School Clinic,4,Nigeria,PSC
Specialist Maternity,4,Nigeria,SM
Health Primary Health Clinic,4,Nigeria,HPHC
Services,4,Nigeria,Serv
Medical Clinic Maternity Home,4,Nigeria,MCMH
Clinic Maternity Annex,4,Nigeria,CMA
Referral Health Centre,4,Nigeria,RHC
Federal University Clinic,4,Nigeria,FUC
Family Health Centre,4,Nigeria,FHC
Medicare Hospital,4,Nigeria,MH
Healthcare Centre,4,Nigeria,HC
Dental Hospital,4,Nigeria,DH
Federal Staff Clinic,4,Nigeria,FSC
Federal Health Clinic,4,Nigeria,FHC
Health Services,4,Nigeria,HS
Orphans Clinic,4,Nigeria,OC
Mother Clinic,4,Nigeria,MC
Central Primary Health Clinic,4,Nigeria,CPHC
Maternity Health Centre,4,Nigeria,MHC
Mother Maternity,4,Nigeria,MM
Medical Maternity,4,Nigeria,MM
Mother Child Hospital,4,Nigeria,MCH
Clinic Andmaternity Home,3,Nigeria,CAH
Tuberculusis Leprosy,3,Nigeria,TL
State Health Clinic,3,Nigeria,SHC
National Medical Centre,3,Nigeria,NMC
Maternity Dispensary,3,Nigeria,MD
Federal Psychiatric Hospital,3,Nigeria,FPH
Medical Clinics,3,Nigeria,MC
Optical Services Eye Clinic,3,Nigeria,OSEC
National Primary Health Care,3,Nigeria,NPHC
Federal Hospital,3,Nigeria,FH
Pharmacy,3,Nigeria,Pharm
Health Medical Centre,3,Nigeria,HMC
University Clinic,3,Nigeria,UC
Medical Centre Maternity Home,3,Nigeria,MCMH
Women Clinic,3,Nigeria,WC
Med Hospital,3,Nigeria,MH
Centre Health,3,Nigeria,CH
Maternity Health Clinic,3,Nigeria,MHC
Primary Care Centre,3,Nigeria,PCC
Community Referral Health Centre,3,Nigeria,CRHC
Med Centre,3,Nigeria,MC
Police Medical Centre,3,Nigeria,PMC
Cottage Clinic,3,Nigeria,CC
State Primary Health Clinic,3,Nigeria,SPHC
Government Health,3,Nigeria,GH
Federal Health centre,3,Nigeria,FHC
Care Clinic Maternity Home,3,Nigeria,CCMH
Specialist Clinics,3,Nigeria,SC
Diagnostic centre,3,Nigeria,DC
Community Dispensary,3,Nigeria,CD
Miracle Hospital,3,Nigeria,MH
Nursing Maternity Clinic,3,Nigeria,NMC
Consultant Hospital,3,Nigeria,CH
Health Dispensary,3,Nigeria,HD
Federal Medical centre,3,Nigeria,FMC
Women Child Welfare Clinic,3,Nigeria,WCWC
Clinic Nursing Home,3,Nigeria,CNH
Hospital Maternity,3,Nigeria,HM
Health Health Post,3,Nigeria,HHP
Child Welfare Clinic,3,Nigeria,CWC
Federal Health Post,3,Nigeria,FHP
Maternal Child Primary Health centre,3,Nigeria,MCPHC
Specialist Medical centre,3,Nigeria,SMC
Health Clinic,3,Nigeria,HC
Clinic Diagnostics,3,Nigeria,CD
Child Health Clinic,3,Nigeria,CHC
Child Hospital,3,Nigeria,CH
Family Centre,3,Nigeria,FC
Comprehensive Health Care Centre,2,Nigeria,CHCC
Maternity Nursing,2,Nigeria,MN
Catholic Maternity,2,Nigeria,CM
Catholic Medical Centre,2,Nigeria,CMC
Clinic Nursing Maternity Centre,2,Nigeria,CNMC
Child Health,2,Nigeria,CH
Federal Medical centre Annex,2,Nigeria,FMCA
Cottage Hospital Maternity,2,Nigeria,CHM
Miracle Clinic Maternity,2,Nigeria,MCM
Government School Health Post,2,Nigeria,GSHP
Clinic Clinic,2,Nigeria,CC
Centre Health Post,2,Nigeria,CHP
Orphans Health Clinic,2,Nigeria,OHC
Mother Child Maternity Home,2,Nigeria,MCMH
Clinic Maternity Home Primary Health Clinic,2,Nigeria,CMHPHC
Police Medical Services,2,Nigeria,PMS
Diagnostic Centre,2,Nigeria,DC
Clinic Diagnostic,2,Nigeria,CD
National Clinic,2,Nigeria,NC
Hospital Diagnostics,2,Nigeria,HD
Hospital Clinic Maternity,2,Nigeria,HCM
Maternity Welfare Clinic,2,Nigeria,MWC
Primary healthClinic,2,Nigeria,PHC
National Centre,2,Nigeria,NC
Women Health,2,Nigeria,WH
Welfare Maternity Centre,2,Nigeria,WMC
Child Welfare,2,Nigeria,CW
Health Medical centre,2,Nigeria,HMC
Maternity Child Clinic,2,Nigeria,MCC
Maternity Child Welfare,2,Nigeria,MCW
Specialist Eye Clinic,2,Nigeria,SEC
Prison Health Clinic,2,Nigeria,PHC
Primary healthcentre,2,Nigeria,PHC
Annex Hospital,2,Nigeria,AH
Care Centre,2,Nigeria,CC
Psychiatric,2,Nigeria,Psych
Mother Maternity Home,2,Nigeria,MMH
Primary health Care Centre,2,Nigeria,PHCC
Primary healthCare Centre,2,Nigeria,PHCC
Dispensary Clinic,2,Nigeria,DC
Primary Care,2,Nigeria,PC
Maternity Primary Health Clinic,2,Nigeria,MPHC
Eye Centre,2,Nigeria,EC
Clinic,2,Nigeria,Cln
Medical Diagnostic Centre,2,Nigeria,MDC
Basic Health,2,Nigeria,BH
Annex Clinic,2,Nigeria,AC
Medical Diagnostic centre,2,Nigeria,MDC
National Staff Clinic,2,Nigeria,NSC
Rehabilitation Clinic,2,Nigeria,RC
Maternity Nursing Hospital,2,Nigeria,MNH
Care Medical,2,Nigeria,CM
Medical Diagnostics,2,Nigeria,MD
Health Clinic Maternity Hospital,2,Nigeria,HCMH
Clinic maternity,2,Nigeria,CM
Basic Health Care,2,Nigeria,BHC
Specialist Hospital Centre,2,Nigeria,SHC
Basic Health Post,2,Nigeria,BHP
General Clinic,2,Nigeria,GC
Optical Eye Clinic,2,Nigeria,OEC
Basic Health Care Centre,2,Nigeria,BHCC
Primary Healthcare centre Clinic,2,Nigeria,PHCC
Primary Primary Health Centre,2,Nigeria,PPHC
Police Cottage Hospital,2,Nigeria,PCH
Maternity Child Health Primary Health Care Centre,2,Nigeria,MCHPHCC
University Health Centre,2,Nigeria,UHC
Comprehensive Primary Health Care centre,2,Nigeria,CPHCC
National Primary Health Care Centre,2,Nigeria,NPHCC
Maternal Child Specialist Clinic,2,Nigeria,MCSC
University Hospital,2,Nigeria,UH
Care Maternity Home,2,Nigeria,CMH
Maternity Medical Centre,2,Nigeria,MMC
Federal Teaching Hospital,2,Nigeria,FTH
Clinic Andmaternity Centre,2,Nigeria,CAC
Specialist Medical Clinic,2,Nigeria,SMC
Comprehensive Health Clinic,2,Nigeria,CHC
Maternal Child Primary Health Centre,2,Nigeria,MCPHC
Medical Maternity Centre,2,Nigeria,MMC
Federal Government Staff Clinic,2,Nigeria,FGSC
Family Clinic Maternity,2,Nigeria,FCM
Police Medical centre,2,Nigeria,PMC
Ultra Hospital,2,Nigeria,UH
centre Clinic,2,Nigeria,CC
General Hospital Clinic,2,Nigeria,GHC
Hospital Medical Centre,2,Nigeria,HMC
Dental Centre,2,Nigeria,DC
Army Health Clinic,2,Nigeria,AHC
Hospital Motherless Home,2,Nigeria,HMH
Care Maternity Clinic,2,Nigeria,CMC
Medical Health Centre,2,Nigeria,MHC
Rehabilitation centre,2,Nigeria,RC
National Primary Health Care centre,2,Nigeria,NPHCC
Centre Primary Health Centre,2,Nigeria,CPHC
Maternal Child Health Primary Health Centre,2,Nigeria,MCHPHC
Specialist Hospital Annex,2,Nigeria,SHA
Clinc Maternity,2,Nigeria,CM
University Medical Centre,2,Nigeria,UMC
Government Health Centre,2,Nigeria,GHC
Women Specialist Hospital,2,Nigeria,WSH
Specialist Hospital centre,2,Nigeria,SHC
Specialist Eye Centre,2,Nigeria,SEC
Central Health Clinic,2,Nigeria,CHC
Health Clinic Andmaternity,2,Nigeria,HCA
Home Hospital,2,Nigeria,HH
Clinic Surgery,2,Nigeria,CS
Prison Medical Centre,2,Nigeria,PMC
health Centre,2,Nigeria,HC
Primary Healthcare Clinic,2,Nigeria,PHC
Hospital Diagnostic Centre,2,Nigeria,HDC
Federal Primary Health Centre,2,Nigeria,FPHC
Health Primary Centre,2,Nigeria,HPC
Cottage,2,Nigeria,Cot
Central Health Centre,2,Nigeria,CHC
National centre,2,Nigeria,NC
Specialist Maternity Hospital,2,Nigeria,SMH
Hospital,2,Nigeria,Hosp
Community Centre,2,Nigeria,CC
Miracle Maternity Home,2,Nigeria,MMH
Home Maternity,2,Nigeria,HM
Leprosy Hospital,2,Nigeria,LH
Health Care Home,1,Nigeria,HCH
Primary Primary Care Centre,1,Nigeria,PPCC
Specialist Centre,1,Nigeria,SC
Women Health Primary Health Care centre,1,Nigeria,WHPHCC
Family Health Hospital,1,Nigeria,FHH
Medical Services Clinics,1,Nigeria,MSC
Health Health Clinic,1,Nigeria,HHC
Central Health Care Centre,1,Nigeria,CHCC
Health Maternity Services,1,Nigeria,HMS
Health Maternity Centre,1,Nigeria,HMC
National Women,1,Nigeria,NW
Maternity Child Health Care Centre,1,Nigeria,MCHCC
Hosp Primary Health Centre,1,Nigeria,HPHC
Mother Catholic Hospital,1,Nigeria,MCH
Health Consultant Clinic,1,Nigeria,HCC
Family Clinic Annex,1,Nigeria,FCA
Miracle Medical Centre,1,Nigeria,MMC
Miracle Home,1,Nigeria,MH
Clinic Care Annex,1,Nigeria,CCA
Specialist Medical Services,1,Nigeria,SMS
Health Consultant,1,Nigeria,HC
Medical Dental Clinic,1,Nigeria,MDC
Primary Care Health Centre,1,Nigeria,PCHC
Army Medical Hospital,1,Nigeria,AMH
Community Child,1,Nigeria,CC
Primary Healthcare centre Health,1,Nigeria,PHCH
Comprehensive Health Care centre,1,Nigeria,CHCC
Clinic Ultrasound Centre,1,Nigeria,CUC
Medicare Maternity Clinic,1,Nigeria,MMC
Clinic Ultra Centre,1,Nigeria,CUC
Maternal Child Health School,1,Nigeria,MCHS
Primary Care Health Post,1,Nigeria,PCHP
Clinic Primary Health Care Centre,1,Nigeria,CPHCC
Primary Health Care Post,1,Nigeria,PHCP
Private Primary Health centre,1,Nigeria,PPHC
Army Primary Health Centre,1,Nigeria,APHC
Primary Healthcare Care,1,Nigeria,PHC
centre Health Clinic,1,Nigeria,CHC
Clinic Primary Health Clinic,1,Nigeria,CPHC
Primary Care Health Clinic,1,Nigeria,PCHC
Med,1,Nigeria,Med
Maternal Child Primary Health Clinic,1,Nigeria,MCPHC
Asibitin Primary Health Centre,1,Nigeria,APHC
Maternal Child Care Family,1,Nigeria,MCCF
Phc Maternity,1,Nigeria,PM
Primary Health Centre Federal,1,Nigeria,PHCF
Clinic Laboratory,1,Nigeria,CL
Primary Primary Centre,1,Nigeria,PPC
Community Primary Healthcare centre,1,Nigeria,CPHC
Women Community,1,Nigeria,WC
Comprehensive Clinic,1,Nigeria,CC
Primary Care Clinic,1,Nigeria,PCC
Primary Health centre Government School,1,Nigeria,PHCGS
Health Clinic Post,1,Nigeria,HCP
Primary School Health Post,1,Nigeria,PSHP
Maternity Health Care Clinic,1,Nigeria,MHCC
Cottage Medicare Hospital,1,Nigeria,CMH
Maternity dispensary,1,Nigeria,MD
Dispensary,1,Nigeria,Disp
Infant Clinic,1,Nigeria,IC
Maternity Home Family,1,Nigeria,MHF
Home Specialist Maternity,1,Nigeria,HSM
Motherless Home,1,Nigeria,MH
Health Medicare,1,Nigeria,HM
Medicare Centre,1,Nigeria,MC
Miracle Nursing Home,1,Nigeria,MNH
Medicare Centre Maternity,1,Nigeria,MCM
Nursing Hospital,1,Nigeria,NH
Medical centre Annex,1,Nigeria,MCA
Maternity Health Centre Services,1,Nigeria,MHCS
Maternity Home Hospital,1,Nigeria,MHH
Mother Medical centre,1,Nigeria,MMC
Nursing Centre,1,Nigeria,NC
Specialist Maternity Centre,1,Nigeria,SMC
Catholic Maternity Clinic,1,Nigeria,CMC
School Primary Health Clinic,1,Nigeria,SPHC
Federal Primary Health Care Centre,1,Nigeria,FPHCC
Clinic Maternity,1,Nigeria,CM
Government Maternity,1,Nigeria,GM
Family Health Services,1,Nigeria,FHS
Clinic Dispensary,1,Nigeria,CD
Basic centre,1,Nigeria,BC
Basic Health centre,1,Nigeria,BHC
Community Health Care Centre,1,Nigeria,CHCC
Diagnostic Medical Laboratory,1,Nigeria,DML
Police School Clinic,1,Nigeria,PSC
Ultra Centre,1,Nigeria,UC
Med Care Hospital,1,Nigeria,MCH
Dental Consultant Clinic,1,Nigeria,DCC
Cottage Hospital Centre,1,Nigeria,CHC
Maternity Child Welfare centre,1,Nigeria,MCWC
Medical Hospital Diagnostic Centre,1,Nigeria,MHDC
Primary health centre,1,Nigeria,PHC
Medical Centre Hospital,1,Nigeria,MCH
Hospital Laboratory Maternity,1,Nigeria,HLM
Scan Maternity Home,1,Nigeria,SMH
Hospital Health Care,1,Nigeria,HHC
Specialist Hospital Care Clinic,1,Nigeria,SHCC
Medical Dental Hospital,1,Nigeria,MDH
Medical Consultant Clinic,1,Nigeria,MCC
Care Health Clinic,1,Nigeria,CHC
Health Medical Clinic,1,Nigeria,HMC
Consultant Hospital Services,1,Nigeria,CHS
Catholic Health Clinic,1,Nigeria,CHC
Maternity Annex,1,Nigeria,MA
Specialist Clinic Maternity Centre,1,Nigeria,SCMC
Nursing Clinic,1,Nigeria,NC
Health Care Maternity Centre,1,Nigeria,HCMC
Catholic Private Clinic,1,Nigeria,CPC
Herbal Home,1,Nigeria,HH
Med Specialist Hospital,1,Nigeria,MSH
Hospital Hospital,1,Nigeria,HH
Maternal Child centre,1,Nigeria,MCC
Medical Primary Health,1,Nigeria,MPH
Clinic Health Care,1,Nigeria,CHC
Annex Staff Clinic,1,Nigeria,ASC
Care Nursing Home,1,Nigeria,CNH
Medicare Medical Centre,1,Nigeria,MMC
Medical Centre Maternity,1,Nigeria,MCM
Catholic Maternity Centre,1,Nigeria,CMC
Hospital Diagnostic Laboratories,1,Nigeria,HDL
Dental Home,1,Nigeria,DH
Hospital Diagnostic centre,1,Nigeria,HDC
Maternal Child Centre,1,Nigeria,MCC
Consultant Medical centre,1,Nigeria,CMC
Specialist Hospitals,1,Nigeria,SH
Medical Consultant Hospital,1,Nigeria,MCH
Federal Primary Health Clinic,1,Nigeria,FPHC
Annex,1,Nigeria,Annex
Private Medical Centre,1,Nigeria,PMC
Police Staff Cottage Hospital,1,Nigeria,PSCH
Basic Primary Health Care,1,Nigeria,BPHC
Family Specialist Hospital,1,Nigeria,FSH
School Primary Health Centre,1,Nigeria,SPHC
Government School Primary Health Care,1,Nigeria,GSPHC
Primary Health Centre Women Health,1,Nigeria,PHCWH
Hospital Rehabilitation Centre,1,Nigeria,HRC
Women Health Health Health Post,1,Nigeria,WHHHP
Staff Clinic Primary Health centre,1,Nigeria,SCPHC
Dispensary centre,1,Nigeria,DC
Care School Clinic,1,Nigeria,CSC
Government School Primary Health Post,1,Nigeria,GSPHP
Central Medical Centre,1,Nigeria,CMC
Medical centre Maternity,1,Nigeria,MCM
Primary Health Care Care,1,Nigeria,PHCC
Maternity Primary Health Centre,1,Nigeria,MPHC
centre Hospital,1,Nigeria,CH
Police Med Police Clinic,1,Nigeria,PMPC
Comprehensive Centre,1,Nigeria,CC
maternity Home,1,Nigeria,MH
Clinics Maternity Clinic,1,Nigeria,CMC
Welfare Maternity Clinic,1,Nigeria,WMC
Maternity Child Welfare Centre,1,Nigeria,MCWC
Aged Widow Health Clinic,1,Nigeria,AWHC
Maternity Child,1,Nigeria,MC
Health Facility Centre,1,Nigeria,HFC
Maternity Infant Welfare Clinic,1,Nigeria,MIWC
Welfare Centre Maternity,1,Nigeria,WCM
Basic Centre,1,Nigeria,BC
Maternity Clinics centre,1,Nigeria,MCC
Medical Dispensary,1,Nigeria,MD
Annex Primary Health Clinic,1,Nigeria,APHC
Government Primary Health Centre,1,Nigeria,GPHC
primary Health Post,1,Nigeria,PHP
Primary healthClinic,1,Nigeria,PHC
Diagnostics Specialist Hospital,1,Nigeria,DSH
Primary Health Centre Family,1,Nigeria,PHCF
Eye Care Hospital,1,Nigeria,ECH
Catholic Maternity Child Health Clinic,1,Nigeria,CMCHC
Nursing Home Andmaternity,1,Nigeria,NHA
Central Primary Health Care centre,1,Nigeria,CPHCC
Welfare Hospital Maternity,1,Nigeria,WHM
Women Child Welfare Primary Health Clinic,1,Nigeria,WCWPHC
Women Welfare Primary Health Care Centre,1,Nigeria,WWPHCC
Federal University Medical Care,1,Nigeria,FUMC
Orphans Primary Health Clinic,1,Nigeria,OPHC
School Health Health Clinic,1,Nigeria,SHHC
Orphans Hospital,1,Nigeria,OH
Family Maternity Hospital,1,Nigeria,FMH
Prison Staff Clinic,1,Nigeria,PSC
Women Child Welfare Clinic Primary Health Care Centre,1,Nigeria,WCWCPHCC
Community Primary Health Clinic,1,Nigeria,CPHC
Health primary health centre,1,Nigeria,HP
Primary Health Clinic Central,1,Nigeria,PHCC
Government Comprehensive Health Post,1,Nigeria,GCHP
Asibiti Primary Healthcare centre,1,Nigeria,APHC
primary Health Care Centre,1,Nigeria,PHCC
Medical Consultant,1,Nigeria,MC
Medical Maternity Clinic,1,Nigeria,MMC
Catholic Primary Health Centre,1,Nigeria,CPHC
University Health Services,1,Nigeria,UHS
Care Women Clinic,1,Nigeria,CWC
Health Medical Services,1,Nigeria,HMS
Police Primary Health Centre,1,Nigeria,PPHC
Leprosy Centre,1,Nigeria,LC
Central Prison Clinic,1,Nigeria,CPC
Optical Centre,1,Nigeria,OC
Ultra Health Care,1,Nigeria,UHC
General Hospital Hospital,1,Nigeria,GHH
Staff Primary Health Clinic,1,Nigeria,SPHC
Maternal Health centre,1,Nigeria,MHC
General Primary Health Centre,1,Nigeria,GPHC
Nursing Home Maternity Centre,1,Nigeria,NHMC
Medicare Clinics,1,Nigeria,MC
Basic Health Centre Maternity,1,Nigeria,BHCM
Care Specialist Hospitals,1,Nigeria,CSH
Care Medical Clinic,1,Nigeria,CMC
Hospitals Maternity,1,Nigeria,HM
primary Health Care Clinic,1,Nigeria,PHCC
State Specialist Hospital Diagnostic Centre,1,Nigeria,SSHDC
Medical Diagnostic Laboratory,1,Nigeria,MDL
Family Basic Health Centre,1,Nigeria,FBHC
Clinic Nursing Maternity Home,1,Nigeria,CNMH
Maternity Clinic Home,1,Nigeria,MCH
Maternity Maternity,1,Nigeria,MM
Cottage Maternity Clinics,1,Nigeria,CMC
Nursing Home Maternity centre,1,Nigeria,NHMC
Hospital Andmaternity centre,1,Nigeria,HAC
Post Hospital,1,Nigeria,PH
Home Maternity centre,1,Nigeria,HMC
